MANufACTuRERS NAME,BuSINESS NAME,STATE.0,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,section 2  accident infoRmation.0,section 2  accident infoRmation.1.0,section 2  accident infoRmation.1.1.0,section 2  accident infoRmation.1.1.1.0,section 2  accident infoRmation.1.1.1.1,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,None,MODEL_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,ADDRESS_2.1.0.1,Conventional Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,ROAD CONDITIONS D 1,ROAD CONDITIONS D 2,MOVEMENT A 1,MOVEMENT  I 2,TYPE B 1,TYPE B 2,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,source_file,AM,minor,Left Front Corner 1,Left Front Corner 3,VEhICLE YEAR_2,STATE VEhICLE IS REGISTERED IN_2,STATE_2,ROAD CONDITIONS H 1,ROAD CONDITIONS H 2,MOVEMENT  G 2,TYPE A 1,TYPE C 2,Right Rear 1,Right Rear 3,LIGHTING C 1,LIGHTING C 2,TYPE C 1,Moving,Moderate,Front Bumper,Right Front Corner 3,WEATHER B 1,WEATHER B 2,MOVEMENT  B 1,MOVEMENT  D 2,TYPE D 2,Right Rear Passenger 2,Front Passenger Side 4,Autonomous Mode,MOVEMENT  D 1,TYPE E 1,Left Rear 1,Passenger,Rear Bumper,MOVEMENT A 2,Injured,Passenger_2,MOVEMENT  B 2,TYPE A 2,Bicyclist,Right Front Corner 2,MOVEMENT  M 2,Left Rear 2,Left Rear Passenger 1,MOVEMENT  E 2,Front Driver Side 3,WEATHER C 1,WEATHER C 2,ROADWAY B 1,ROADWAY B 2,MOVEMENT  L 2,TYPE D 1,undefined,Other,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,CITY_2.1.1.0,Injured_2,Driver,MOVEMENT  E 1,MOVEMENT  R 2,STATE_4.0,ZIP CODE_2.0,Left Front Corner 2,Right Front Corner 1,Right Rear Passenger 4,undefined_2,Other_2,OTHER A YES,Left Rear Passenger 3,Bicyclist_2,MOVEMENT  K 2,MOVEMENT  O 1,MOVEMENT  H 2,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,OTHER E,Proper ty_2,MOVEMENT J 1,DRIVERS fuLL NAME First Middle last_2,MOVEMENT  H 1,Right Rear 2,INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT_2,MOVEMENT  L 1,MOVEMENT  G 1,MOVEMENT  O 2,LIGHTING B 1,LIGHTING B 2,MOVEMENT  K 1,Front Passenger Side 2,Front Driver Side 1,MOVEMENT  N 2,Stopped in Traffic_2,MOVEMENT J 2,Bicyclist_3,OTHER C,TYPE H 2,WEATHER E 1,WEATHER E 2,major,OTHER K,MOVEMENT  Q 2,OTHER D
Cruise LLC,Cruise,CA,3/9/2021,8:20,/ ,2020,Chevrolet,Bolt,,274 Fremont St,San Francisco,San Francisco,CA,94105,,1,,,,,"A Cruise autonomous vehicle (“Cruise AV”) operating in manual mode was traveling southwest on Folsom Street. When the Cruise AV was turning right onto Fremont Street, it made contact with the curb at the front passenger tire. This caused damage to the front right tire of the Cruise AV. There were no other vehicles or property involved. There were no injuries and the police were not called.",/ ,,,,,,,,,,,,,"Todd J. Brugger, VP Global Markets",03/18/2021,Cruise_030921.pdf,,/Yes,,,,,,/Yes,,,,,,,/Yes,,,/ ,,,,,,,,,,/Yes,,/Yes,/Yes,,,,,,/ ,,,,,,,,,,/Yes,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,3/12/2021,4:37,/ ,2020,Chevrolet,Bolt,CA,198 Duboce Av,San Francisco,San Francisco,CA,94103,/ ,2,,BMW 740,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was facing west and stopped for a red light at the intersection of Duboce and Guerrero Streets. Before the Cruise AV started to proceed for the green light, contact was made to the rear bumper of the Cruise AV by a BMW traveling behind the AV. The contact caused minimal damage to the rear bumper of the Cruise AV. There were no injuries and the police were not called.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Todd J. Brugger, VP Global Markets",03/18/2021,Cruise_031221.pdf,,/Yes,,,2001,CA,CA,,,,,,/Yes,,,,/Yes,,,,,,,,,,,,/ ,,,,,/Yes,,,/ ,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,3/27/2021,4:27,/ ,2020,Chevrolet,Bolt,CA,199 Parnassus St,San Francisco,San Francisco,CA,94117,,2,,GMC Denali,/ ,,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was turning from northbound Stanyan St. to westbound on Parnassus Street. As the Cruise AV was starting to turn, a black GMC Denali behind the Cruise AV attempted to overtake the Cruise AV causing the AVTO to disengage from autonomous mode.  The GMC Denali made contact with the front driver side bumper of the Cruise AV, which caused minor damage to the front bumper. There were no injuries and police were not called. The driver of the GMC Denali did not stop after the incident and could not be contacted.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,/Yes,"Todd Brugger, VP Global Markets","April 5, 2021",Cruise_032721.pdf,,/Yes,/Yes,,,TX,,,,,,,,,,,,/ ,,,,,,,,,,,/ ,,,,,,,,/ ,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,3/29/2021,4:58,/ ,2020,Chevrolet,Bolt,CA,1890 Folsom St,San Francisco,San Francisco,CA,94103,,2,,Honda Accord,/ ,2,"A Cruise autonomous vehicle (“Cruise AV”), operating in manual mode, was traveling Westbound on Fulton Street between Pierce and Scott Streets. As the Cruise AV was proceeding straight through the intersection, contact was made to the Cruise AV’s rear bumper by a black Honda Accord. There were no injuries but emergency services were notified via OnStar. The driver of the Honda Accord did not stop after the incident and could not be contacted. ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Todd Brugger, VP Global Markets","April 5, 2021",Cruise_032921.pdf,,/Yes,,,,,,,,,,,/Yes,,,,/Yes,/ ,,,,,,/Yes,,,,,,,,/Yes,,/Yes,,,/ ,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,3/30/2021,9:23,,2020,Chevrolet,Bolt,CA,1855 Folsom Street,San Francisco,San Francisco,CA,94107,/ ,2,,Ford Van,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was stopped while yielding to make a left turn from Southbound on Folsom Street to Eastbound on 15th Street. Contact was made to the rear center bumper of the Cruise AV by a 2016 Ford Van that was continuing straight on Folsom Street. The contact caused minimal damage to the rear center side bumper of the Cruise AV. The police were not called. The day after the incident, minor injuries were reported by the Cruise AVTO and Passenger. ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Todd Brugger, VP Global Markets","April 6, 2021",Cruise_033021.pdf,/ ,/Yes,,,2015,CA,CA,,,,,,/Yes,,,,/Yes,/ ,,,,,,,,,,,,,,/Yes,/ ,/Yes,,/ ,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,/ ,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,04/21/2021,12:38,/ ,2020,Chevrolet,Bolt,CA,1401 15th St,San Francisco,San Francisco,CA,94103,,2,,Silverado,/ ,2,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode was turning from Southbound on Folsom Street to Westbound on 15th Street. When the Cruise AV stopped to yield for an oncoming vehicle, a Chevrolet Silverado that was traveling behind made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. At the time of the incident, the driver of the Cruise AV reported a minor injury, but emergency services were not called. ",,/Yes,/Yes,/Yes,/Yes,,,,,,,,,"Todd Brugger, VP Global Markets",04/29/2021,Cruise_042121.pdf,,/Yes,,,2013,CA,CA,/Yes,/Yes,,,,,,,,/Yes,/ ,,,,,,,/Yes,,,,/ ,/Yes,,/Yes,,/Yes,,/ ,/ ,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,05/17/2021,1:27,/ ,2020,Chevrolet,Bolt,CA,1201 Guerrero St,San Francisco,San Francisco,CA,94110,/ ,2,,Toyota Sienna,/ ,,"A Cruise autonomous vehicle, operating in autonomous mode, was traveling northbound on Guerrero Street. The Cruise AV was making a right turn onto 24th Street when a 2004 Toyota Sienna that was traveling straight on Guerrero made contact with the rear driver bumper of the Cruise AV. This caused damage to the rear driver bumper and wheel well of the Cruise AV. There were no injuries and police were not called. ",,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,,,"Todd J. Brugger, VP Global Markets",05/26/2021,Cruise_051721.pdf,,/Yes,,,2016,CA,CA,,,,,,,,,,/Yes,,,,,,,,,,,,/ ,,,/Yes,/ ,,,,,/Yes,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,05/31/2021,09:37,,2020,Chevrolet,Bolt,CA,1418 7th Av,San Francisco,San Francisco,CA,94112,,1,,,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on 7th Ave between Judah and Kirkham Streets. The Cruise AV made contact with a steel drain cover while traveling over the cover. Contact was made at the undercarriage of the Cruise AV. This caused damage to the undercarriage of the Cruise AV. There were no injuries and police were not called.",/ ,/Yes,,/Yes,,/Yes,,,,,,,,"Todd J. Brugger, VP Global Markets",06/09/2021,Cruise_053121.pdf,/ ,,,,,,,,,,,,,,,,,/ ,/Yes,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,/ ,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,07/10/2021,06:06,/ ,2020,Chevrolet,Bolt,CA,2500 Clement St.,San Francisco,San Francisco,CA,94121,,2,,Toyota,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Clement Street. As the Cruise  AV was in the intersection with 26th Avenue, a blue Toyota Matrix traveling northbound on 26th Avenue failed to yield and entered the  intersection. The Toyota made contact with the Cruise AV's front left bumper and damaged the bumper wheel and the wheel cover. After  the incident, the passenger in the Cruise AV reported minor shoulder soreness. There were no additional injuries reported and police were  not called. ",,/Yes,/Yes,/Yes,/Yes,,,,,,,,,"Todd Brugger, VP Global Markets",07/20/2021,cruise_071021.pdf,,/Yes,/Yes,/Yes,2006,CA,CA,,,,,,,,,,,/ ,,,,,,/Yes,,/Yes,,,/ ,,,,/ ,,,,,/Yes,,,,,,,,/Yes,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,07/15/2021,9:38,/ ,2020,Chevrolet,Bolt,CA,1500 McAllister St.,San Francisco,San Francisco,CA,94115,/ ,2,,Honda Accord,/ ,,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response to a red light on eastbound McAllister Street at the intersection with Scott Street. Another vehicle approaching from the rear made contact with the Cruise AV's rear  bumper, damaging the rear left bumper. The driver of the other vehicle left the scene without exchanging information. There were no  injuries and police were not called.",,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,/Yes,/Yes,"Todd Brugger, VP Global Markets",07/28/2021,cruise_071521.pdf,,/Yes,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,/ ,,,/Yes,,,,,,/Yes,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,07/26/2021,01:15,/ ,2020,Chevrolet,Bolt,CA,900 Blk Howard St,San Francisco ,San Francisco ,CA,94103,,2,,,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling northbound on 5th Street and yielding to oncoming traffic before making a left turn onto westbound Howard Street. The Cruise AV was yielding to an oncoming electric scooterist when the light turned from green to yellow. The driver of the Cruise AV disengaged from autonomous mode to make the left turn and, shortly thereafter, the electric scooterist made contact with the right side of the Cruise AV, damaging the Cruise AV's front and rear passenger doors. The electric scooterist reported soreness and bruising and the San Francisco police were called. It is unknown at this time whether an investigation is being conducted by law enforcement.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Todd Brugger, VP Global Markets",08/04/2021,Cruise_072621_redacted.pdf,,,,,,,CA,,,,,,,/Yes,,,,/ ,/Yes,,,,,,,,/Yes,,,,,,,,,/ ,,/Yes,/Yes,,,,,,,,,,,,,/Yes,/ ,Scooter,,,,,,,/ ,/Yes,,,,,,/Yes,/ ,Scooter,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,08/02/2021,12:58,/ ,2020,Chevrolet,Bolt,CA,2200 Blk Balboa St,San Francisco,San Francisco,CA,94121,,2,,Toyota Tundra,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Balboa Street. As the Cruise AV was in the intersection with 24th Avenue, a silver Toyota Tundra traveling northbound on 24th Avenue failed to yield and continued to enter the intersection. The AVTO disengaged from autonomous mode; nevertheless the Toyota made contact with the Cruise AV's left rear panel and damaged the rear left bumper. There were no injuries and police were not called.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Todd Brugger, VP Global Markets",08/12/2021,Cruise_080221.pdf,,/Yes,,,2013,CA,CA,/Yes,/Yes,,,,,,,,,/ ,,,,,,/Yes,,,,,,,,,,,,,/ ,,/Yes,,,,/Yes,/Yes,,,,,,,,/Yes,,,,,,,,,/ ,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,08/28/2021,21:05,/ ,2020,Chevrolet,Bolt,CA,900 Steiner St,San Francisco,San Francisco,CA,94117,,1,,"Bicycle, possible Lyft E Bike",/ ,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southbound on Steiner Street between McAllister Street and Fulton Street. The Cruise AV was traveling 24.4 mph upon entering the intersection with Fulton Street on a green light. As the Cruise AV continued through the intersection, a bicyclist traveling eastbound on Fulton Street failed to stop for their red light and entered the intersection. The Cruise AV was disengaged from autonomous mode and the Cruise AV operator braked to a speed of 8.7 mph and, shortly thereafter, the bicyclist made contact with the Cruise AV, damaging the front of the Cruise AV and the bicycle. The cyclist verbally reported they were okay. However, the Cruise AV Operator noticed minor injuries to the cyclict. Police and Emergency Medical Services were called, but the cyclist left the scene before the police or EMS arrived. ",,/Yes,/Yes,,,/Yes,/Yes,,,,,,,"Todd Brugger, VP Global Markets",09/03/2021,cruise_082821.pdf,,/Yes,,/Yes,,,,/Yes,/Yes,,/Yes,,,,/Yes,/Yes,,/ ,,/Yes,/Yes,,,/Yes,,/Yes,,,/ ,,,,,,,,/ ,/Yes,,/ ,/Yes,,,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,08/30/2021,08:40,/ ,2020,Chevrolet,Bolt,CA,1096 Fulton St,San Francisco ,San Francisco ,CA,94117,,2,,Toyota,/ ,2,"A Cruise autonomous vehicle (""Cruise AV"") in conventional mode was involved in a collision on eastbound Fulton Street between Steiner Street and Pierce Street. While the Cruise AV was parked parallel to the curb on the street, another vehicle attempting to park made contact with the rear bumper of the Cruise AV, damaging the Cruise AV's rear bumper. There were no injuries and police were not called. ",/ ,/Yes,/Yes,,,/Yes,/Yes,,,,,,,"Todd Brugger, VP Global Markets",09/08/2021,cruise_083021.pdf,,/Yes,,,1993,CA,CA,/Yes,/Yes,,,,/Yes,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,/Yes,,/Yes,,,/ ,,/Yes,,,,,,,,,,,,,,/ ,Parked,,,,,,,/ ,,,,,,,,,Parking,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,10/02/2021,01:56,,2020,Chevrolet,Bolt,CA,700 Capp St,San Francisco,San Francisco,CA,94110,/ ,2,,,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response a stop sign on northbound Capp Street at the intersection with 22nd Street. An SFPD 2016 Ford Explorer that was in front of the Cruise AV reversed from the intersection of Capp Street and 22nd Street and made contact with the Cruise AV's front bumper, damaging the front bumper. There were no injuries and the officer that struck the Cruise AV filed a police report.",,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,,"Greg Dieterich, General Manager, San Francisco Market",10/11/2021,cruise_100221.pdf,/ ,/Yes,,,,CA,CA,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,/Yes,,,,/Yes,,,,,,,,,/ ,,,,/ ,,,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,11/15/2021,08:44,,2020,Chevrolet,Bolt,CA,4485 17th St,San Francisco,San Francisco,CA,94114,/ ,2,/Yes,Toyota,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a stop sign on westbound 17th Street at the intersection with Roosevelt Way. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper. There were no injuries and police were not called. The Cruise AV test operator later mentioned neck pain.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Todd Brugger, VP Global Markets",12/17/2021,cruise_111521.pdf,/ ,,,,2012,CA,CA,/Yes,/Yes,,,,,,,,/Yes,,,,,,,,,,,,/ ,,,/Yes,,/Yes,,,/ ,,/Yes,,,,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,CA,09/25/2021,10:56,,2020,Chevrolet,Bolt,CA,3100 3rd St,San Francisco,San Francisco,CA,94124,/ ,2,,Chevrolet Bolt,/ ,2,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on 3rd Street between Marin Street and Cesar Chavez Street. As the Cruise AV was stopped behind another vehicle, a 2020 Chevy Bolt behind the Cruise AV made contact with the Cruise AV, damaging the rear center bumper of the Cruise AV. The Cruise AV operator reported injuries. Police were not called to the scene.",/ ,/Yes,/Yes,/Yes,/Yes,,,,,/Yes,,,,"Todd Brugger, VP Global Markets",10/04/2021,Cruise_OL316_092521_Redacted.pdf,/ ,/Yes,,,2020,CA,CA,/Yes,/Yes,,,,,,,,/Yes,,,,,,,,,,,,,,,,/ ,/Yes,,/ ,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyft Inc.,Lyft Inc.,CA,04/14/2021,09:38,,2019,FORD,FUSION,CA,HARRISON & 1 ST,SAN FRANCISCO,SAN FRANCISCO,CA,94107,,2,,Toyota,/ ,2,"On April 14, 2021 at 9:38am, AV104 driving in autonomous mode in San Francisco, California, experienced longitudinal contact from a Toyota sedan at the intersection of First and Harrison Streets. The AV was moving at 9mph in the right lane and slowing to begin to execute a right turn, when the Toyota sedan “side-swiped” the left front lidar unit on the AV while overtaking at a greater speed from the left adjacent lane.  The AV vehicle sustained moderate property damage to the lidar unit, mount, and front fender/bumper.  The driver of the Toyota did not stop*.  There are no known injuries, and Lyft does not know what (if any) damage was sustained by the Toyota. *Note: this lane merges onto a freeway ramp and may not have provided a place to safely pull over.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,/Yes,,/Yes,"John Maddox, Senior Director for Autonomous Vehicle Safety & Compliance",04/23/2021,Lyft_OL316_041421_Redacted.pdf,/ ,,/Yes,,,CA,,,,,,,,,,,,/ ,/Yes,,,,,,,,,,/ ,/Yes,,,,,,,,/Yes,,,,,,,,,,,,,,,/ ,VEHICLE,,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pony.ai, Inc.",Pony.ai ,,10/28/2021,10:50,,2021,Hyundai,Kona/EV,CA,Southbound on Fremont Blvd past Cushing Pkwy,Fremont,Alameda,CA,94538,,1,,,,,"On October 28, 2021, after turning right onto Fremont Blvd from Cushing Pkwy, the Pony.ai Autonomous Vehicle (""Pony.ai AV"") performed a left lane change maneuver in autonomous mode. While performing the lane change, the Pony.ai AV came into contact with a center divider on Fremont Blvd. and the traffic sign that was posted on the divider.  The Pony.ai AV suffered moderate damage to the front of the vehicle and the undercarriage. There were no injuries and no other vehicles involved.  Fremont Police Department were called to report the incident and the damaged street sign.  Pony.ai has subsequently worked with local authorities to resolve all issues related to the damaged sign.",,/Yes,,/Yes,,/Yes,,,,,,,,"Gordon Sung, US General Counsel",,Pony.ai-OL316_102821_Redacted.pdf,/ ,,,/Yes,,,,/Yes,,,,,,,,,,/ ,/Yes,/Yes,/Yes,,,,,,,,/ ,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,/ ,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
"Pony.ai, Inc. ",Pony.ai,CA,02/11/2021,9:00,,2020,Hyundai,Kona EV,CA,Milmont Dr. / Dixon Landing Rd.,Milpitas ,Santa Clara,CA,95035,/ ,1,,Toyota Corolla,/ ,2,"The Pony.ai autonomous vehicle (""Pony.ai AV"") was stopped for approximately 3 minutes at the red light in the far right lane on Milmont Dr. preparing to turn right onto Dixon Landing Rd. In front of the Pony.ai AV are several other vehicles also preparing to turn right. While stopped, Vehicle 2 came up quickly immediately behind the Pony.ai AV then proceeded to stop abruptly. Vehicle 2 then proceeds to creep up towards the Pony.ai with the driver of Vehicle 2 appearing to look down. Vehicle 2 then lurches forward quickly towards the Pony.ai AV. The Pony.ai AV operator proceeded to disengage from autonomous mode to attempt to avoid an accident, however, as the Pony.ai AV vehicle operator attempted to step on the throttle, the Pony.ai AV is rear-ended by Vehicle 2. The Pony.ai AV was stopped at 0 mph, while the approximate speed of Vehicle 2 at the point of collision was 5 mph. The Pony.ai AV operator noted that prior to the collision, the driver of Vehicle 2 appeared to drive erratically across other intersections as well. The contact between the vehicles caused a moderate damage to the back of the Pony.ai AV and moderate damage to Vehicle 2. Both drivers pulled over to the side of the roadway and exchanged information. There were no injuries reported and the police were not called. Pursuant to protocol, Pony.ai ran simulations after the accident to determine if the ADV would have reacted differently. The results indicate the Pony.ai ADV would not have reacted differently. ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,Chen (FC) Fu,02/19/2021,Pony.ai_021121.pdf,/ ,,,,2016,CA,CA,/Yes,/Yes,,,,,,,,,,/Yes,,,,,,,,,,,,,/Yes,,/Yes,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,03/05/2021,08:40,/ ,2017,Chrysler,Pacifica,CA,Oakdale Avenue at Industrial Street,San Francisco,San Francisco,CA,94124,,2,,Chrysler 300M,/ ,2,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling eastbound in autonomous mode on Oakdale Avenue approaching Industrial Street in San Francisco was involved in a collision. The Waymo AV was coming to a stop at a stop sign intersection on Oakdale Avenue at Industrial Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 20 MPH. The Waymo AV was traveling approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene; the Waymo AV test driver sought medical attention from urgent care the following day.",,,,,,/Yes,/Yes,,,,,,,"Matt Salwasser, Program Manager",03/12/2021,Waymo-OL316_030521_Redacted.pdf,,/Yes,,,2001,CA,,/Yes,/Yes,,,/Yes,,,/Yes,/Yes,,/ ,,,,,,,,,,,/ ,,,/Yes,,/Yes,,/ ,,/Yes,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,08/13/2021,8:04,,2021,Jaguar,I-Pace,CA,Oakdale Avenue and Toland Street,San Francisco,San Francisco,CA,94124,,2,,Chevrolet Astro,/ ,2,"On August 13, 2021 at 8:04 AM PDT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving a van at Oakdale Avenue and Toland Street. While in manual mode and traveling northwest on Oakdale Avenue, the Waymo AV was approaching slower lead traffic at the stop sign intersection at Toland Street. As the Waymo AV’s operator (in the driver’s seating position) slowed the Waymo AV, a van made contact with the rear of the Waymo AV. The Waymo AV sustained minor damage to the underside of its rear bumper; the van did not appear to sustain damage.",/ ,,,/Yes,/Yes,/Yes,/Yes,,,,,,,Karen Isgrigg,09/15/2021,Waymo-OL316_081321_Redacted.pdf,/ ,/Yes,,,2000,CA,CA,/Yes,/Yes,,,/Yes,,,,,,/ ,,,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes, ,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,8/31/2021,7:30,,2021,Jaguar,I-Pace,CA,25th Street at York Street,San Francisco,San Francisco,CA,94110,,2,,Toyota Tacoma ,/ ,2,"On August 31, 2021 at 7:30 AM PDT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving another vehicle near the intersection of 25th Street at York Street. The Waymo AV was stopped near the end of the 2500 block of 25th Street after having executed a pull-over in autonomous mode, at which time the operator of the Waymo AV took manual control of the Waymo AV and proceeded into the driving lane. The Waymo AV then made contact with the right rear fender of a passenger vehicle passing the Waymo AV on the left side. Both vehicles incurred minor damage.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,/Yes,/Yes,,Karen Isgrigg,09/10/2021,Waymo-OL316_083121_Redacted-1.pdf,/ ,/Yes,/Yes,,2018,CA,MX,/Yes,/Yes,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,
